"GENE.NAME","Gene.name","Level","Reliability","conservative","liberal"
"10","NAT2","Low","Uncertain",-1,0
"100","ADA","Not detected","Enhanced",-1,-1
"10005","ACOT8","Medium","Approved",1,1
"10007","GNPDA1","Medium","Uncertain",1,1
"100129518","LOC100129518",NA,NA,-1,-1
"100137049","PLA2G4B",NA,NA,-1,-1
"10020","GNE","Medium","Approved",1,1
"10026","PIGK",NA,NA,-1,-1
"100302263","MIR1908",NA,NA,-1,-1
"10038","PARP2","Not detected","Approved",-1,-1
"10039","PARP3","High","Supported",2,2
"10050","SLC17A4","Low","Approved",-1,0
"100507855","LOC100507855",NA,NA,-1,-1
"100509620","LOC100509620",NA,NA,-1,-1
"100526760","ABHD14A-ACY1","Not detected","Approved",-1,-1
"100526794","NT5C1B-RDH14",NA,NA,-1,-1
"100526830","SLX1A-SULT1A3",NA,NA,-1,-1
"100526832","PHOSPHO2-KLHL23",NA,NA,-1,-1
"100526835","FPGT-TNNI3K",NA,NA,-1,-1
"100529261","CHURC1-FNTB",NA,NA,-1,-1
"10056","FARSB","Medium","Enhanced",1,1
"10057","ABCC5","Medium","Uncertain",1,1
"10058","ABCB6","Medium","Approved",1,1
"100861540","CYP3A7-CYP3AP1",NA,NA,-1,-1
"10087","COL4A3BP","Not detected","Uncertain",-1,-1
"10090","UST","Medium","Approved",1,1
"100996643","LOC100996643",NA,NA,-1,-1
"100996939","PYURF","Medium","Uncertain",1,1
"101060521","LOC101060521",NA,NA,-1,-1
"10130","PDIA6","Low","Enhanced",-1,0
"10134","BCAP31","Not detected","Enhanced",-1,-1
"10135","NAMPT","Not detected","Approved",-1,-1
"10157","AASS","Medium","Enhanced",1,1
"10162","LPCAT3",NA,NA,-1,-1
"10164","CHST4","Not detected","Enhanced",-1,-1
"10165","SLC25A13","Medium","Approved",1,1
"10166","SLC25A15","Medium","Approved",1,1
"10170","DHRS9","Medium","Approved",1,1
"10171","RCL1",NA,NA,-1,-1
"101927705","LOC101927705",NA,NA,-1,-1
"101928195","LOC101928195",NA,NA,-1,-1
"101928635","LOC101928635",NA,NA,-1,-1
"101929583","LOC101929583",NA,NA,-1,-1
"101929829","LOC101929829",NA,NA,-1,-1
"101929857","LOC101929857",NA,NA,-1,-1
"101929880","LOC101929880",NA,NA,-1,-1
"101930168","LOC101930168",NA,NA,-1,-1
"10195","ALG3","Not detected","Approved",-1,-1
"10201","NME6","Low","Approved",-1,0
"102157402","AK6","Low","Supported",-1,0
"10226","PLIN3","Low","Uncertain",-1,0
"10229","COQ7","Medium","Approved",1,1
"10243","GPHN","Not detected","Enhanced",-1,-1
"10246","SLC17A2",NA,NA,-1,-1
"10249","GLYAT","Not detected","Enhanced",-1,-1
"10257","ABCC4","Not detected","Enhanced",-1,-1
"10269","ZMPSTE24","Medium","Approved",1,1
"10295","BCKDK","Not detected","Supported",-1,-1
"10312","TCIRG1","Medium","Approved",1,1
"10317","B3GALT5","Not detected","Approved",-1,-1
"10321","CRISP3","Not detected","Supported",-1,-1
"10327","AKR1A1","Not detected","Approved",-1,-1
"10331","B3GNT3","Not detected","Enhanced",-1,-1
"10352","WARS2","Medium","Enhanced",1,1
"1036","CDO1","Not detected","Enhanced",-1,-1
"10380","BPNT1","Medium","Approved",1,1
"10390","CEPT1",NA,NA,-1,-1
"1040","CDS1","Medium","Enhanced",1,1
"10400","PEMT","Medium","Approved",1,1
"10402","ST3GAL6","Medium","Approved",1,1
"10423","CDIPT","Medium","Approved",1,1
"10434","LYPLA1","Low","Enhanced",-1,0
"10449","ACAA2","Medium","Enhanced",1,1
"10455","ECI2","Medium","Enhanced",1,1
"10476","ATP5H","High","Enhanced",2,2
"10478","SLC25A17","Medium","Approved",1,1
"10514","MYBBP1A","Not detected","Supported",-1,-1
"10554","AGPAT1","Medium","Approved",1,1
"10555","AGPAT2","Medium","Uncertain",1,1
"10558","SPTLC1","Low","Supported",-1,0
"10559","SLC35A1",NA,NA,-1,-1
"1056","CEL","Not detected","Enhanced",-1,-1
"10560","SLC19A2","Medium","Uncertain",1,1
"10568","SLC34A2","Not detected","Enhanced",-1,-1
"10585","POMT1",NA,NA,-1,-1
"10587","TXNRD2","Not detected","Supported",-1,-1
"10588","MTHFS","Low","Approved",-1,0
"10599","SLCO1B1","Not detected","Supported",-1,-1
"10606","PAICS","Low","Uncertain",-1,0
"10610","ST6GALNAC2",NA,NA,-1,-1
"10621","POLR3F","Medium","Uncertain",1,1
"10622","POLR3G","Not detected","Enhanced",-1,-1
"10623","POLR3C","Low","Uncertain",-1,0
"10632","ATP5L","High","Approved",2,2
"10637","LEFTY1","Not detected","Approved",-1,-1
"10654","PMVK","Medium","Approved",1,1
"1066","CES1","Not detected","Enhanced",-1,-1
"10667","FARS2","Medium","Approved",1,1
"10678","B3GNT2","Low","Approved",-1,0
"10682","EBP","Not detected","Approved",-1,-1
"10690","FUT9",NA,NA,-1,-1
"107","ADCY1",NA,NA,-1,-1
"10714","POLD3","Low","Enhanced",-1,0
"10715","CERS1","Not detected","Approved",-1,-1
"10721","POLQ",NA,NA,-1,-1
"10723","SLC12A7","Low","Approved",-1,0
"10728","PTGES3","Not detected","Enhanced",-1,-1
"10768","AHCYL1","Not detected","Approved",-1,-1
"10786","SLC17A3",NA,NA,-1,-1
"10797","MTHFD2","Not detected","Approved",-1,-1
"108","ADCY2","Not detected","Approved",-1,-1
"10809","STARD10","High","Uncertain",2,2
"10826","FAXDC2",NA,NA,-1,-1
"10840","ALDH1L1","Low","Enhanced",-1,0
"10841","FTCD","Not detected","Enhanced",-1,-1
"10855","HPSE",NA,NA,-1,-1
"10858","CYP46A1",NA,NA,-1,-1
"10861","SLC26A1","Not detected","Uncertain",-1,-1
"10864","SLC22A7","Not detected","Approved",-1,-1
"10873","ME3","Medium","Approved",1,1
"109","ADCY3","Medium","Approved",1,1
"10901","DHRS4","Not detected","Uncertain",-1,-1
"10905","MAN1A2","Medium","Enhanced",1,1
"10908","PNPLA6","High","Uncertain",2,2
"10914","PAPOLA","Medium","Supported",1,1
"10948","STARD3","High","Uncertain",2,2
"10954","PDIA5","Not detected","Enhanced",-1,-1
"10965","ACOT2","Medium","Enhanced",1,1
"10991","SLC38A3",NA,NA,-1,-1
"10993","SDS","Medium","Uncertain",1,1
"10998","SLC27A5","Not detected","Enhanced",-1,-1
"10999","SLC27A4","Low","Approved",-1,0
"11000","SLC27A3","Medium","Uncertain",1,1
"11001","SLC27A2","Not detected","Enhanced",-1,-1
"11019","LIAS","Low","Approved",-1,0
"1103","CHAT","Not detected","Supported",-1,-1
"11041","B3GNT1",NA,NA,-1,-1
"11044","PAPD7","High","Enhanced",2,2
"11046","SLC35D2","Medium","Approved",1,1
"1109","AKR1C4","Medium","Uncertain",1,1
"111","ADCY5",NA,NA,-1,-1
"11101","ATE1","Medium","Approved",1,1
"11102","RPP14",NA,NA,-1,-1
"11112","HIBADH","High","Enhanced",2,2
"11128","POLR3A",NA,NA,-1,-1
"11136","SLC7A9","Not detected","Enhanced",-1,-1
"11145","PLA2G16",NA,NA,-1,-1
"1116","CHI3L1",NA,NA,-1,-1
"11163","NUDT4","High","Approved",2,2
"11164","NUDT5","Not detected","Approved",-1,-1
"11165","NUDT3","Not detected","Uncertain",-1,-1
"1118","CHIT1","Low","Approved",-1,0
"11181","TREH","Not detected","Enhanced",-1,-1
"11182","SLC2A6","Not detected","Uncertain",-1,-1
"11185","INMT",NA,NA,-1,-1
"1119","CHKA","Medium","Approved",1,1
"112","ADCY6","Medium","Approved",1,1
"1120","CHKB","Medium","Approved",1,1
"11201","POLI","Low","Enhanced",-1,0
"11212","PROSC","Medium","Approved",1,1
"11219","TREX2","Low","Uncertain",-1,0
"11232","POLG2","Not detected","Approved",-1,-1
"11238","CA5B","Not detected","Uncertain",-1,-1
"11240","PADI2","Not detected","Enhanced",-1,-1
"112476","PRRT2","Not detected","Enhanced",-1,-1
"112483","SAT2","Not detected","Enhanced",-1,-1
"11253","MAN1B1","Low","Approved",-1,0
"11254","SLC6A14","Not detected","Uncertain",-1,-1
"112611","RWDD2A","Medium","Uncertain",1,1
"11277","TREX1","Medium","Supported",1,1
"112817","HOGA1","Medium","Approved",1,1
"11282","MGAT4B","Low","Uncertain",-1,0
"11283","CYP4F8","Not detected","Approved",-1,-1
"11284","PNKP","Low","Supported",-1,0
"11285","B4GALT7","High","Supported",2,2
"113","ADCY7","Medium","Uncertain",1,1
"113026","PLCD3","Medium","Approved",1,1
"11309","SLCO2B1","Medium","Uncertain",1,1
"11316","COPE","Not detected","Supported",-1,-1
"113189","CHST14","Not detected","Approved",-1,-1
"11320","MGAT4A","Low","Enhanced",-1,0
"113235","SLC46A1","Low","Approved",-1,0
"11332","ACOT7","Low","Enhanced",-1,0
"11343","MGLL","Not detected","Enhanced",-1,-1
"113451","AZIN2",NA,NA,-1,-1
"113452","TMEM54",NA,NA,-1,-1
"113612","CYP2U1","Medium","Uncertain",1,1
"113675","SDSL","High","Approved",2,2
"114","ADCY8","Medium","Supported",1,1
"114112","TXNRD3","Not detected","Uncertain",-1,-1
"114134","SLC2A13","Medium","Approved",1,1
"114571","SLC22A9",NA,NA,-1,-1
"114770","PGLYRP2","Medium","Approved",1,1
"114771","PGLYRP3",NA,NA,-1,-1
"1149","CIDEA",NA,NA,-1,-1
"115","ADCY9","Not detected","Approved",-1,-1
"115019","SLC26A9","Not detected","Enhanced",-1,-1
"115024","NT5C3B","Medium","Approved",1,1
"115111","SLC26A7",NA,NA,-1,-1
"1152","CKB","Low","Enhanced",-1,0
"115286","SLC25A26","Medium","Enhanced",1,1
"1155","TBCB","Low","Approved",-1,0
"115584","SLC5A11",NA,NA,-1,-1
"1158","CKM","High","Enhanced",2,2
"1159","CKMT1B","Not detected","Uncertain",-1,-1
"1160","CKMT2","High","Enhanced",2,2
"116085","SLC22A12","Not detected","Enhanced",-1,-1
"116179","TGM7",NA,NA,-1,-1
"116255","MOGAT1",NA,NA,-1,-1
"116285","ACSM1",NA,NA,-1,-1
"116369","SLC26A8","Not detected","Enhanced",-1,-1
"116519","APOA5",NA,NA,-1,-1
"116969","ART5",NA,NA,-1,-1
"117247","SLC16A10","High","Approved",2,2
"117283","IP6K3","Medium","Approved",1,1
