"GENE.NAME","Ischemic","Ischemic_logFC","Idiopathic","Idiopathic_logFC"
"100",-1,-0.267207834266883,-1,-0.357846036747496
"10000",0,0,0,0
"100009676",0,0,0,0
"10003",1,0.129346097927158,1,0.0816344632419277
"100033413",-1,-0.112312251717199,0,0
"100033414",0,0,1,0.112237217414993
"100033418",0,0,1,0.149487854906028
"100033423",0,0,1,0.179025289940101
"100033424",0,0,0,0
"100033425",0,0,1,0.211303655026183
"100033426",0,0,0,0
"100033427",0,0,0,0
"100033428",0,0,1,0.182924785318865
"100033430",0,0,0,0
"100033433",0,0,1,0.143404982533538
"100033434",0,0,0,0
"100033435",0,0,0,0
"100033436",0,0,0,0
"100033438",0,0,0,0
"100033439",0,0,1,0.0952716674677179
"100033801",1,0.147721810946047,1,0.295141870393291
"100033806",1,0.332173485132655,1,0.584614833692609
"100033807",1,0.100519290613386,1,0.200628172017756
"100033818",1,0.271684321845042,1,0.437006106615139
"100033820",1,0.176536430502316,1,0.37048197757998
"100033821",0,0,1,0.213728378228115
"100049587",-1,-0.198730856574394,-1,-0.148272452547166
"100049716",1,0.357561402084355,1,0.326239033121592
"10005",0,0,0,0
"10006",1,0.0785338181021515,0,0
"10007",1,0.137218516123133,0,0
"100101467",1,0.238416564984981,1,0.252935543986006
"10011",0,0,1,0.090853907029409
"100124535",0,0,0,0
"100124536",0,0,0,0
"100124537",0,0,-1,-0.10091018804179
"100124538",-1,-0.0689418355469886,-1,-0.0813398740618752
"100126355",1,0.0819894682694979,1,0.111090285131636
"100127888",-1,-0.127827593209522,-1,-0.151204873355992
"100128288",-1,-0.129371852435384,0,0
"100128569",0,0,0,0
"100128653",1,0.136017423284975,1,0.151824421717719
"100128830",0,0,-1,-0.101336270768113
"100128927",-1,-0.195102022326251,-1,-0.216797214378232
"100129075",1,0.195097322031414,1,0.17694123056133
"100129434",-1,-0.261403554524086,-1,-0.188494369614959
"100129482",1,0.0830158952529354,0,0
"100129503",0,0,1,0.0988335187489215
"100129543",1,0.247046643436212,1,0.224507454464845
"100129654",-1,-0.0690983656562052,-1,-0.122806293064921
"100129842",1,0.309271942134896,1,0.256373164236187
"100130331",-1,-0.134562913501403,-1,-0.159749829118724
"100130348",0,0,0,0
"100130370",-1,-0.0776595646380107,-1,-0.0734752183143863
"100130581",0,0,0,0
"100130613",0,0,0,0
"100130691",1,0.405546417290553,1,0.326488992558465
"100130889",0,0,0,0
"100130967",0,0,-1,-0.133096108937772
"100131017",-1,-0.123675852694514,0,0
"100131138",-1,-0.288259250047457,-1,-0.268085845194945
"100131211",1,0.116629409264625,0,0
"100131213",0,0,0,0
"100131434",1,0.468339537320195,1,0.400187948172703
"100131496",0,0,0,0
"100131755",1,0.185077398250074,1,0.159105728603476
"100131827",1,0.336309512310125,1,0.277227201756991
"100131943",1,0.126876270405804,1,0.0917081842548417
"100132116",0,0,1,0.0922245756744946
"100132356",0,0,0,0
"100132686",0,0,0,0
"100133091",1,0.110489383060982,1,0.0893385261757524
"100133161",0,0,0,0
"100133315",1,0.30287537526531,1,0.269921274251071
"100133941",1,0.679205560033044,1,0.529128650472202
"100134868",1,0.104885564110824,1,0.198795558913913
"100141515",0,0,0,0
"100151683",-1,-0.210548891924937,-1,-0.155872400991031
"100151684",1,0.136926085257267,1,0.168341860879476
"100158262",-1,-0.305850294413009,-1,-0.369555903213772
"10018",1,0.243040447120427,1,0.193616503720943
"10019",-1,-0.132991789538169,-1,-0.158957474606706
"100190938",1,0.246024278205644,1,0.17402755942593
"100190939",1,0.275745524650228,1,0.29595872034702
"10021",-1,-0.167455674806664,-1,-0.164307080143113
"10023",0,0,0,0
"10026",1,0.206552337437991,1,0.11789247772901
"100271350",-1,-0.0973986160804277,-1,-0.158423839716112
"100287290",0,0,-1,-0.113544103559364
"100287896",1,0.301537329758578,1,0.324166773949602
"100287948",-1,-0.167535473741105,-1,-0.180493365587702
"100288413",-1,-0.203044554952329,-1,-0.176654105195841
"100289388",1,0.12929196741431,0,0
"100291105",1,0.214781254954714,1,0.250000173714668
"100293516",1,0.0977944623972835,1,0.174510760164815
"1003",0,0,0,0
"100302743",0,0,0,0
"100310846",-1,-0.118013102251786,-1,-0.0918181105019755
"100337591",0,0,0,0
"100379132",0,0,0,0
"100379250",0,0,0,0
"100379661",-1,-0.270310476293735,-1,-0.273119551916966
"10039",1,0.194981524163068,1,0.119970799366034
"1004",1,0.359391612887994,1,0.311341823588775
"10040",1,0.103114242453397,1,0.0925747760225946
"100419773",0,0,1,0.186885018051832
"10044",-1,-0.0871364752917358,0,0
"10046",0,0,0,0
"100505530",0,0,0,0
"100505549",-1,-0.177062460723925,-1,-0.244413419261658
"100505993",0,0,0,0
"100506127",1,0.206210030367328,1,0.286543135173239
"100506237",0,0,0,0
"100506422",0,0,0,0
"100506564",-1,-0.067674247379728,-1,-0.0815120995469885
"100506571",0,0,0,0
"100506581",0,0,-1,-0.103589236167144
"100506730",1,0.229258923023282,1,0.175312200494798
"100506736",1,0.169993962748292,1,0.21765656558321
"100506742",1,0.270196367714158,1,0.174547164564741
"100506930",0,0,1,0.149658827974886
