"GENE.NAME","Ischemic","Ischemic_logFC","Idiopathic","Idiopathic_logFC"
"10",0,0,0,0
"100",0,0,0,0
"1000",0,0,1,0.280161588518892
"10000",0,0,0,0
"10001",0,0,0,0
"100033416",0,0,0,0
"100033433",0,0,0,0
"100033444",0,0,0,0
"100033450",0,0,0,0
"100033802",0,0,0,0
"100033820",0,0,0,0
"100037417",0,0,0,0
"10005",0,0,0,0
"10006",0,0,0,0
"10007",1,0.235187525671301,1,0.163216148776162
"100093631",0,0,0,0
"10010",-1,-0.241636560587956,-1,-0.272632311611917
"100101267",-1,-0.247672035534713,-1,-0.235442201911336
"100113381",-1,-0.665761338780086,-1,-0.690644981280523
"100124516",-1,-0.189242374347208,-1,-0.185155840747093
"100126332",0,0,0,0
"100126351",0,0,0,0
"100126791",0,0,0,0
"100128553",0,0,0,0
"100129250",1,0.228783370944453,1,0.206193619726743
"100129271",0,0,0,0
"100129361",0,0,0,0
"100129482",0,0,0,0
"100129503",0,0,0,0
"100129518",-1,-0.280124928965273,-1,-0.25424863295058
"100129583",-1,-0.28718335702313,-1,-0.271542116125
"100130348",0,0,0,0
"100130872",1,0.244455949393528,0,0
"100131827",0,0,0,0
"100132247",0,0,0,0
"100132285",0,0,0,0
"100132406",1,0.239032228074084,1,0.242162367843024
"100132417",0,0,0,0
"100132832",1,0.161633829291675,1,0.163992050229648
"100132948",0,0,0,0
"100133121",0,0,0,0
"100133941",1,0.228807691236121,0,0
"100134444",0,0,0,0
"100134713",0,0,0,0
"100134938",0,0,0,0
"100137047",0,0,0,0
"100137049",0,0,0,0
"10014",0,0,0,0
"100142659",0,0,0,0
"10015",-1,-0.228874053645821,-1,-0.265555249178776
"100188893",0,0,0,0
"10019",0,0,0,0
"1002",1,0.144436429865752,0,0
"10020",0,0,0,0
"10023",1,0.144568278805566,0,0
"10024",0,0,0,0
"10025",0,0,0,0
"10026",1,0.272168091275472,1,0.344144352829945
"100271849",0,0,0,0
"100271927",0,0,0,0
"100272147",1,0.187648039087969,1,0.186095746206397
"100272216",0,0,0,0
"100287852",0,0,0,0
"100287932",-1,-0.308981728784717,-1,-0.3001292853532
"100288142",1,0.239032228074084,1,0.242162367843024
"100288289",0,0,0,0
"100288332",-1,-0.13616467677777,-1,-0.170104869966575
